Asset type;Resource provider namespace/Entity;Abbreviation;Transformer;Validator1;Validator2;Validator3;Validator4
Azure Cognitive Services;Microsoft.CognitiveServices/accounts;cog;alphanumericsHyphens;startWithAlphanumeric;endWithAlphanumeric;63characterLimit;
Azure Cosmos DB database;Microsoft.DocumentDB/databaseAccounts/sqlDatabases;cosmos;alphanumericsHyphens;startWithAlphanumeric;;44characterLimit;atLeast3Characters
Azure Data Explorer cluster;Microsoft.Kusto/clusters;dec;alphanumericsHyphens;startWithAlphanumeric;endWithAlphanumeric;63characterLimit;
Azure Data Explorer cluster database;Microsoft.Kusto/clusters/databases;dedb;alphanumericsHyphens;startWithAlphanumeric;endWithAlphanumeric;63characterLimit;
Azure Data Factory;Microsoft.DataFactory/factories;adf;alphanumericsHyphens;startWithAlphanumeric;endWithAlphanumeric;63characterLimit;
Azure Databricks workspace;Microsoft.Databricks/workspaces;dbw;alphanumericsHyphens;startWithAlphanumeric;endWithAlphanumeric;63characterLimit;
Azure Machine Learning workspace;Microsoft.MachineLearningServices/workspaces;mlw;alphanumericsUnderscoresPeriodsHyphens;startWithAlphanumeric;endWithAlphanumericOrUnderscore;260characterLimit;
Azure Migrate project;Microsoft.Migrate/assessmentProjects;migr;alphanumericsHyphens;startWithAlphanumeric;endWithAlphanumeric;63characterLimit;
Azure Monitor action group;Microsoft.Insights/actionGroups;ag;alphanumericsHyphens;startWithAlphanumeric;endWithAlphanumeric;63characterLimit;
Azure Purview instance;Microsoft.Purview/accounts;pview;alphanumericsHyphens;startWithAlphanumeric;endWithAlphanumeric;63characterLimit;
Azure SQL Data Warehouse;Microsoft.Sql/servers;sqldw;alphanumericsHyphens;startWithAlphanumeric;endWithAlphanumeric;63characterLimit;
Azure SQL database;Microsoft.Sql/servers/databases;sqldb;alphanumericsUnderscoresPeriodsHyphens;startWithAlphanumeric;endWithAlphanumericOrUnderscore;128characterLimit;
Azure SQL Database server;Microsoft.Sql/servers;sql;alphanumericsHyphens;startWithAlphanumeric;endWithAlphanumeric;63characterLimit;
Azure StorSimple;Microsoft.StorSimple/managers;ssimp;alphanumericsUnderscoresHyphens;;;60characterLimit;atLeast3Characters
Azure Stream Analytics;Microsoft.StreamAnalytics/cluster;asa;alphanumericsUnderscoresHyphens;startWithAlphanumeric;endWithAlphanumeric;63characterLimit;atLeast3Characters
Azure Synapse Analytics;Microsoft.Synapse/workspaces;syn;alphanumericsHyphens;startWithAlphanumeric;endWithAlphanumeric;63characterLimit;
Azure Synapse Analytics Spark Pool;Microsoft.Synapse/workspaces/sqlPools;synsp;alphanumericsHyphens;startWithAlphanumeric;endWithAlphanumeric;63characterLimit;
Azure Synapse Analytics SQL Dedicated Pool;Microsoft.Synapse/workspaces/sqlPools;syndp;alphanumericsHyphens;startWithAlphanumeric;endWithAlphanumeric;63characterLimit;
Azure Synapse Analytics Workspaces;Microsoft.Synapse/workspaces;synw;alphanumericsHyphens;startWithAlphanumeric;endWithAlphanumeric;63characterLimit;
Bastion;Microsoft.Network/bastionHosts;bas;alphanumericsUnderscoresPeriodsHyphens;startWithAlphanumeric;endWithAlphanumericOrUnderscore;80characterLimit;
